State Code,Predicted Total Damage ('000 US$) for 2024
NY,3332019.98502935
TX,14447080.092871219
DE,9286163.307768915
GA,6453455.002199415
OR,644119.2756330281
CO,3216495.540669509
AL,6947824.063128791
CA,8362486.278621418
FL,26626072.181410786
MS,7672150.515029427
OH,4836709.385035414
LA,10489880.889050279
PA,4086530.725499767
IN,3651067.991824248
MN,1322471.1480942173
OK,7491484.328993991
TN,4337621.955986198
WI,2790536.93890311
VA,12281756.735128962
IL,3580960.5805863217
MT,385229.7662703681
NJ,3886321.655131248
SC,4298351.573679176
WY,480493.30284134904
AR,5881389.800553706
KY,4193004.32000474
GU,-0.13343948872716282
WA,3802499.7608099743
UT,951481.5074226615
NV,6122032.317607092
WV,2428543.2305467725
NC,31609698.647352606
CT,4326559.277565859
NE,2978984.0684107943
AK,59713.6896296877
ME,1516429.9256483477
KS,3907848.336696401
MO,5054539.402397398
MA,1490273.5761818478
RI,3648902.148491497
HI,-959.7938247997809
MI,2277095.6659633936
SD,1089551.6996319515
ID,1679176.3560015424
AZ,3469097.194826816
IA,3340778.8712415523
MD,10432027.282932753
VT,1922036.3636149266
NM,-329459.8497434936
ND,778401.9378849135
NH,1999481.3752358118
DC,2614846.0249362825
MP,0.0
AS,-1.947410055436194e-08
PR,0.0
FM,0.0
VI,0.0
MH,0.0
PW,0.0
Virgin Islands of the U.S.,0.0
