State Code,Predicted Number of Total Disasters for 2024
NY,19.0
TX,51.0
DE,-1.0
GA,27.0
OR,12.0
CO,2.0
AL,24.0
CA,74.0
FL,81.0
MS,20.0
OH,9.0
LA,18.0
PA,16.0
IN,23.0
MN,31.0
OK,25.0
TN,27.0
WI,17.0
VA,48.0
IL,20.0
MT,12.0
NJ,10.0
SC,13.0
WY,3.0
AR,15.0
KY,52.0
GU,2.0
WA,25.0
UT,7.0
NV,3.0
WV,26.0
NC,31.0
CT,2.0
NE,29.0
AK,9.0
ME,9.0
KS,38.0
MO,36.0
MA,8.0
RI,5.0
HI,3.0
MI,9.0
SD,26.0
ID,3.0
AZ,1.0
IA,29.0
MD,-1.0
VT,8.0
NM,4.0
ND,32.0
NH,7.0
DC,1.0
MP,7.0
AS,3.0
PR,177.0
FM,3.0
VI,3.0
MH,12.0
PW,1.0
Virgin Islands of the U.S.,2.0
