State Code,Total Disasters,Total Deaths,Total Damage ('000 US$),No. Injured,State Name,Year,Risk Level
NY,19.0,96.0,2882742.0,50.0,New York,2024,3
TX,51.0,140.0,9765709.0,120.0,Texas,2024,3
DE,0.0,46.0,2542493.0,262.0,Delaware,2024,2
GA,27.0,82.0,4591511.0,80.0,Georgia,2024,3
OR,12.0,25.0,1530954.0,2.0,Oregon,2024,2
CO,2.0,41.0,3639014.0,9.0,Colorado,2024,2
AL,24.0,93.0,3742729.0,152.0,Alabama,2024,3
CA,74.0,58.0,5482422.0,0.0,California,2024,2
FL,81.0,468.0,42013286.0,124.0,Florida,2024,3
MS,20.0,103.0,4583559.0,88.0,Mississippi,2024,3
OH,9.0,80.0,4617743.0,92.0,Ohio,2024,3
LA,18.0,79.0,5388677.0,36.0,Louisiana,2024,3
PA,16.0,51.0,3568660.0,47.0,Pennsylvania,2024,2
IN,23.0,60.0,3629788.0,112.0,Indiana,2024,2
MN,31.0,45.0,1180960.0,3.0,Minnesota,2024,2
OK,25.0,54.0,6281580.0,87.0,Oklahoma,2024,2
TN,27.0,96.0,4396354.0,124.0,Tennessee,2024,3
WI,17.0,63.0,2865605.0,70.0,Wisconsin,2024,2
VA,48.0,123.0,12320691.0,149.0,Virginia,2024,3
IL,20.0,59.0,2936929.0,88.0,Illinois,2024,2
MT,12.0,4.0,322077.0,61.0,Montana,2024,1
NJ,10.0,29.0,39130.0,19.0,New Jersey,2024,2
SC,13.0,32.0,3396396.0,76.0,South Carolina,2024,2
WY,3.0,7.0,322135.0,22.0,Wyoming,2024,1
AR,15.0,53.0,5630438.0,106.0,Arkansas,2024,2
KY,52.0,78.0,4271106.0,38.0,Kentucky,2024,3
GU,2.0,-0.0,30.0,0.0,Guam,2024,1
WA,25.0,73.0,7297336.0,10.0,Washington,2024,2
UT,7.0,4.0,840650.0,5.0,Utah,2024,1
NV,3.0,47.0,6045539.0,16.0,Nevada,2024,2
WV,26.0,44.0,2433731.0,14.0,West Virginia,2024,2
NC,31.0,136.0,30783278.0,244.0,North Carolina,2024,3
CT,2.0,44.0,0.0,24.0,Connecticut,2024,2
NE,29.0,42.0,4449508.0,48.0,Nebraska,2024,2
AK,9.0,0.0,282303.0,0.0,Alaska,2024,1
ME,9.0,19.0,1954204.0,43.0,Maine,2024,2
KS,38.0,44.0,5346644.0,121.0,Kansas,2024,2
MO,36.0,113.0,3720614.0,125.0,Missouri,2024,3
MA,8.0,24.0,823246.0,8.0,Massachusetts,2024,2
RI,5.0,26.0,6210472.0,0.0,Rhode Island,2024,2
HI,3.0,1.0,0.0,0.0,Hawaii,2024,1
MI,9.0,20.0,3210257.0,43.0,Michigan,2024,2
SD,26.0,10.0,1170674.0,2.0,South Dakota,2024,1
ID,3.0,80.0,1646553.0,0.0,Idaho,2024,3
AZ,1.0,26.0,3572241.0,3.0,Arizona,2024,2
IA,29.0,37.0,3340639.0,71.0,Iowa,2024,2
MD,0.0,59.0,4301609.0,174.0,Maryland,2024,2
VT,8.0,18.0,2429997.0,0.0,Vermont,2024,2
NM,4.0,0.0,257761.0,0.0,New Mexico,2024,1
ND,32.0,7.0,1010359.0,12.0,North Dakota,2024,1
NH,7.0,14.0,780982.0,0.0,New Hampshire,2024,1
DC,1.0,19.0,1486900.0,1.0,District of Columbia,2024,2
MP,7.0,0.0,0.0,0.0,Northern Mariana Islands,2024,1
AS,3.0,0.0,0.0,0.0,American Samoa,2024,1
PR,177.0,0.0,0.0,0.0,Puerto Rico,2024,1
FM,3.0,0.0,0.0,0.0,Unknown,2024,1
VI,3.0,0.0,0.0,0.0,Virgin Islands,2024,1
MH,12.0,0.0,0.0,0.0,Unknown,2024,1
PW,1.0,0.0,0.0,0.0,Unknown,2024,1
Virgin Islands of the U.S.,2.0,0.0,0.0,0.0,Unknown,2024,1
